case_id,case_title,case_text,case_outcome
Case803,Briggs on behalf of the Gumbangirri People v Minister for Lands for the State of New South Wales [2004] FCA 1056 ; (2004) 141 FCR 17,"As pointed out by Mansfield J in Landers 128 FCR at 504: ""The proper identification of the native title claim group is the central focus or focal issue of a native title determination application. It is the native title claim group which provides authorisation under s 251B , and it is the group on whose behalf the claim is then pursued and, if successful, in whose favour a determination of native title is then made."" (cf Briggs on behalf of the Gumbangirri People v Minister for Lands for the State of New South Wales [2004] FCA 1056 ; (2004) 141 FCR 17 at 25-26)",cited
Case805,Harrington-Smith on behalf of the Wongatha People v State of Western Australia (No 9) [2007] FCA 31,"I agree with the submission of QSNTS that the group is not described sufficiently so as to allow one to ascertain whether any particular person is in that group: cf Dieri People v State of South Australia [2003] FCA 187 ; (2003) 127 FCR 364 at 379, Harrington-Smith on behalf of the Wongatha People v State of Western Australia (No 9) [2007] FCA 31 at [1206] - [1225] ). Indeed, if anything, the descriptions of claimants provided in various places in the application are contradictory in that ""the members of the family bloodline groups to the island of Minjerribah and the waters of Quandamooka"" is clearly a larger group than the ""identified descendants of Oodgeroo the Late Kath Walker"". I note in this regard the affidavit of Ms Waters, consultant historian, sworn 24 January 2007, where she deposes that 11 family groups make up the Quandamooka Claim groups.",cited
Case808,McKenzie v State Government of South Australia (2005) 214 ALR 214,"The cautious approach of the Court as described in Williams [2004] FCAFC 178 was more recently reaffirmed by the Full Court in Bodney 140 FCR at 89, where Stone J (with whom Spender and Branson JJ agreed on this point) said that notwithstanding the operation of s 84C in the context of native title applications, the Court approaches strike-out applications under this section in the same way as applications under O 20 r 2 Federal Court Rules (see also Landers v State of South Australia [2003] FCA 264 ; (2003) 128 FCR 495 at 497, Thomas v State of South Australia [2004] FCA 951 at [2] - [3] , McKenzie v State Government of South Australia (2005) 214 ALR 214 at 221).",cited
Case809,Risk v National Native Title Tribunal [2000] FCA 1589,"Accordingly in my view, and in circumstances where, despite the applicant's non-appearance in Court, the applicant has had an opportunity to put forward evidence in relation to this and other issues, I am satisfied that not only is there a lack of clarity as to the persons who make up the claim group, but that in any event the applicant was not authorised to make the application on behalf of such people of the claim group as have been identified. It therefore appears that the applicant is not authorised to make an application on behalf of all of the claim group. If the applicant represents a family subgroup which claims to hold native title, it is not the group which holds the common or group rights or interests within s 61 of the Act ( Risk v National Native Title Tribunal [2000] FCA 1589 at [60] , Dieri 127 FCR at 377, Hillig [2006] FCA 1115 at [60] ).",cited
Case813,Chan Ta Srey v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2003] FCA 1292,"In Chan Ta Srey v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2003] FCA 1292 , Gray J, after referring to Zhan , held (at [53]) that where any of the requirements of s 66(2) of the Act were not complied with, there was no ""notification"" with the result that time did not begin to run in respect of an application to the Migration Review Tribunal. The same reasoning must apply to a non-compliance with paras 501G(1)(c)-(f). In any event, the parties accepted that if I should uphold Mr Pomare's submission that the notice did not comply with subpara 501G(1)(f)(iv), the matter should be remitted to the Tribunal to be heard and determined in accordance with law.",followed
Case822,Cadbury Schweppes Pty Ltd v Darrell Lea Chocolate Shops Pty Ltd [2007] FCAFC 70 ; (2007) 72 IPR 261,"I found in favour of Darrell Lea: Cadbury Schweppes Pty Ltd v Darrell Lea Chocolate Shops Pty Ltd (No 4) [2006] FCA 446 ; (2006) 69 IPR 23 (the earlier judgment). Subsequently the Full Court upheld Cadbury's appeal on the ground that I had wrongly excluded evidence sought to be adduced by Cadbury from three expert witnesses, Dr Brian Gibbs, Dr Constantino Stavros and Mr Timothy Riches (collectively, the Cadbury experts): Cadbury Schweppes Pty Ltd v Darrell Lea Chocolate Shops Pty Ltd [2007] FCAFC 70 ; (2007) 72 IPR 261 ( Full Court I ).",cited
Case824,Cadbury Schweppes Pty Ltd v Darrell Lea Chocolate Shops Pty Ltd [2006] FCA 363,"The evidence of the Cadbury experts had been excluded ( Cadbury Schweppes Pty Ltd v Darrell Lea Chocolate Shops Pty Ltd [2006] FCA 363 at [8] - [18] ) on the ground that an expert's opinion is not admissible as to matters within the experience and knowledge of a judge or jury ( The Queen v Turner [1975] QB 834 at 841, Murphy v The Queen [1989] HCA 28 ; (1989) 167 CLR 94 at 111) and specifically in relation to ""ordinary human nature, that of people at large"" ( Transport Publishing Co Pty Ltd v The Literature Board of Review (1956) 99 CLR 111 at 119) such as purchasers of everyday consumer items ( Dalgety Spillers Foods Ltd v Food Brokers Ltd [1994] FSR 504 at 527, Symonds Cider &amp; English Wine Company Ltd v Showerings (Ireland) Ltd [1997] IEHC 1 at [20] ); see also JD Heydon Cross on Evidence (7 th Australian ed, 2004) at 930.",cited
Case834,Reckitt &amp; Colman Ltd v Borden Inc (1990) 17 IPR 1,"In its written submissions Cadbury cited numerous decisions which were said to involve facts or issues similar to the present case and statements of judges about the facts in those cases. For its part, Darrell Lea sought to draw different messages from those, and other, cases and statements. Without wishing to disparage the industry of counsel, I did not find this exercise particularly helpful. I repeat the statement of Lord Oliver in Reckitt &amp; Colman Ltd v Borden Inc (1990) 17 IPR 1 at 7, quoted in the earlier judgment at [120]. Mutatis mutandis , similar considerations apply to the trade practices claims. As was pointed out in Domain Names and Interlego (see [49]-[50] above), these are jury questions. A jury would not be asked to consider what was said by judges in other cases because a jury has to apply legal principle to the facts before it, and no other facts.",applied
Case835,Seymour v Australian Broadcasting Commission (1977) 19 NSWLR 219,"Likewise in Seymour v Australian Broadcasting Commission (1977) 19 NSWLR 219 at 236 Mahoney JA said: ...failure to cross-examine a witness may not found such an assumption or render the course of the trial unfair if it is clear from the manner in which generally the case has been conducted that his evidence will be contested. This was pointed out by Lord Herschell ([in Browne v Dunn] at 71). The nature of the defendant's case and the particulars given, and otherwise the conduct of it may make it sufficiently clear that such an assumption is unwarranted and that there has been no surprise or prejudice concerning the matter.",cited
Case846,Claveria v Pilkington Australia Ltd (2007) 167 IR 144,"The Federal Magistrate did not consider that Ms Kang had been dismissed because of absences due to illness. There was no reason why Mr Kennedy would have been aware of any of Ms Kang's absences because of illness. It had not been put to him that he was aware of any such absences or that he had acted because of them. His Honour rejected the claim, insofar as it was based on s 659(2)(e) on the basis that it was well settled that the paragraph did not apply where all that the employee had done was to make a complaint directly to his or her employer: see Zhang at [19]-[30]; Claveria v Pilkington Australia Ltd (2007) 167 IR 144 at [110]-[112]. All of Ms Kang's complaints about her treatment were directed to other officers within the Attorney-General's Department.",referred to
Case854,Re Refugee Review Tribunal; Ex parte Aala [2000] HCA 57 (2000) 204 CLR 82,"Denial of procedural fairness, potentially affecting the outcome of a proceeding in the Tribunal, is a jurisdictional error. Ordinarily, it justifies the Court quashing the decision of the Tribunal. See Re Refugee Review Tribunal; Ex parte Aala [2000] HCA 57 (2000) 204 CLR 82 and Plaintiff S157/2002 v Commonwealth [2003] HCA 2 (2003) 211 CLR 476. The question is whether any provision of the Migration Act prevents Ms Antipova from relying on this jurisdictional error in the present case. In particular, the question is whether s 357A(1) of the Migration Act has that effect.",cited
Case861,NALQ v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCAFC 121,"At [62], Ryan J quoted from NALQ v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCAFC 121 at [30] , a passage in which the Full Court recognised that the invitation required by s 425 must be 'real and meaningful and not just an empty gesture', citing both SCAR and Mazhar . The Full Court in NALQ proceeded to discuss earlier authorities on the nature of the invitation required. At [34], there was a discussion of whether the Full Court in SCAR at [37] had misconstrued the judgment of Hely J in Applicant NAHF of 2002 v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2003] FCA 140 (2003) 128 FCR 359, but the Full Court in NALQ did not determine this question.",cited
Case873,Ainsworth v Criminal Justice Commission [1992] HCA 10 ; (1992) 175 CLR 564,"The question which then arises is whether the disclosure of the AWB Information under s 127(4) requires ASIC to observe procedural fairness not only towards the examinee but also a party in the position of AWB consistent with the principles set out in Johns v ASC [1993] HCA 56 ; (1993) 178 CLR 408. The exercise of the statutory power is conditional upon the observance of the rules of natural justice ( Johns at 470; Ainsworth v Criminal Justice Commission [1992] HCA 10 ; (1992) 175 CLR 564 , 591 and Annetts v McCann [1990] HCA 57 ; (1990) 170 CLR 596 , 598), but does that natural justice requirement extend to AWB?",cited
Case881,Gangemi v Australian Securities and Investments Commission [2003] FCA 494 ; (2003) 129 FCR 284,"Of course, there cannot be a general rule that a legal representative of the employer or the former employer of the examinee should be permitted to attend to protect the employer's privilege. There may well be circumstances where to do so would jeopardise the investigation: see eg Gangemi v Australian Securities and Investments Commission [2003] FCA 494 ; (2003) 129 FCR 284 at [35] , [38]; see also Rochfort at 145 (Mason J) (stating that request for the production of privileged information should generally be directed to the employer but ""the protection of the employer's interests [in the information] must give way to the public interest in the efficient administration of justice in case of collision between the two""). But in the absence of such a circumstance, the voluntary grant by ASIC of a limited right to be present in the manner outlined by counsel for AWB might have forestalled the issues raised in these proceedings.",cited
Case886,Minister for Aboriginal Affairs v Peko-Wallsend Ltd [1986] HCA 40 ; (1985) 162 CLR 24,"It is well established that ""an administrative decision may be impugned if the decision maker was bound to take a factor into account in reaching his or her decision but failed to do so"": MM at [40]. If a statute states expressly the factors that must be taken into account that will be decisive. However, if the relevant factors are not expressly stated, they must be determined by necessary implication from the subject matter, scope and purpose of the Act: Minister for Aboriginal Affairs v Peko-Wallsend Ltd [1986] HCA 40 ; (1985) 162 CLR 24 , 39-40; Minister for Immigration and Multicultural Affairs v Yusuf [2001] HCA 30 ; (2001) 206 CLR 323 , 347-348.",cited
Case892,"United States v Western Electric Corp Inc 1990-1 Trade Cases |P 68,939; 1990 WL 39129 (DDC 1990)","However, neither AWB nor AWBI took any step to review the decision of the investigator to refuse to permit AWB to be represented at the examinations. Whether such an effort would have succeeded seems unlikely (see [36]-[37] below); in this regard, it is illuminating to examine United States v Western Electric Corp Inc 1990-1 Trade Cases |P 68,939; 1990 WL 39129 at *1 (DDC 1990) (stating that the company had no right to have its own counsel present, whether in addition to or in lieu of individual counsel, at examinations of present or former employees because that ""would be an obvious prescription for frustrating investigations into wrongdoing"").",cited
Case897,"City of Wanneroo v Australian Municipal, Administrative, Clerical and Services Unions [2006] FCA 813","His Honour noted that there was no dispute about the facts. His Honour cited a number of authorities on the construction of awards: Short v FW Hercus Pty Ltd [1993] FCA 51 ; (1993) 40 FCR 511 at 520; Kucks v CSR Limited (1996) 66 IR 181 at 184 and City of Wanneroo v Australian Municipal, Administrative, Clerical and Services Unions [2006] FCA 813 at [57] . In the latter case French J referred to an observation in his earlier decision City of Wanneroo v Holmes (1989) 30 IR 362 at 380: Awards, whether made by consent or otherwise, should make sense according to the basic conventions of the English language. They bind the parties on pain of pecuniary penalties.",cited
Case904,Glencore International AG v Selwyn Mines Ltd (2005) FCA 801,"The relevant principles were also considered by Lindgren J in Glencore International AG v Selwyn Mines Ltd (2005) FCA 801. In that case, his Honour indicated that the measure of preliminary discovery is the extent of information that is necessary, but no more than that which is reasonably necessary, in order to overcome the insufficiency of information already possessed by the applicant after it has made all reasonable inquiries to enable it to make a decision as to whether to commence proceedings.",cited
Case907,Australian Broadcasting Tribunal v Bond (1990) 170 CLR 321,"The Tribunal was placed in a difficult situation by reason of the issue having been expressly adverted to only after the completion of the hearing in the way it was. However, the Tribunal, by implication, professed to be aware of s 7(1) and then went on to expressly consider that issue in the decision. In doing so, it held that there was no evidence in relation to it. That was not correct. To so hold was an error on a question of law within the meaning of s 44(1) of the Administrative Appeals Tribunal Act ( Australian Broadcasting Tribunal v Bond (1990) 170 CLR 321 per Mason CJ at 355 (agreed with by Brennan J and Deane J); Lees v Repatriation Commission [2002] FCAFC 398 ; (2002) 125 FCR 331 at [21] [25]).",cited
Case909,Metwally v University of Wollongong [1985] HCA 28 ; (1985) 60 ALR 68,"There is no evidence that enables a factual determination of whether or not it is unreasonable not to have raised the point earlier. Further, in Metwally v University of Wollongong [1985] HCA 28 ; (1985) 60 ALR 68 the High Court stated at [7] that: Except in the most exceptional circumstances, it would be contrary to all principle to allow a party, after a case had been decided against him, to raise a new argument which, whether deliberately or by inadvertence, he failed to put during the hearing when he had an opportunity to do so.",cited
Case913,SZKNX v Minister for Immigration and Citizenship (2008) 104 ALD 475,In SZKNX v Minister for Immigration and Citizenship (2008) 104 ALD 475 the Full Court of this Court considered the meaning of notification for the purposes of s 477 of the Act. The Full Court concluded that notification occurred when an applicant has physical possession of a decision by any means. It is reasonable to infer that the applicant was in possession of the Tribunal decision at least by the time he filed his application for special leave to the High Court on 20 September 2006. The applicant submits that the time runs from the date of the decision in SZIZO . That is clearly not correct. The application to Driver FM was made out of time.,referred to
Case931,NAQS v Minister for Immigration and Multicultural and Indigenous Affairs [2003] FCA 1137 ; (2003) 77 ALD 424,"the appellant submitted that the conduct of the review and the findings made by the Tribunal member should lead to the conclusion that the Tribunal did not conduct the review required by the Act. The appellant referred to NAQS v Minister for Immigration and Multicultural and Indigenous Affairs [2003] FCA 1137 ; (2003) 77 ALD 424 , a case in which Hill J reached the conclusion that the Tribunal had not conducted the review required by the Act. Without being exhaustive, features of that case which led to that conclusion were a refusal by the Tribunal member to allow the applicant to call a witness, the Tribunal member acting in a rude manner and the Tribunal member cutting the applicant off in the course of his answers and refusing to hear explanations from the applicant.",discussed
Case940,Ponzio v B &amp; P Caelli Constructions Pty Ltd (2007) 158 FCR 543,"The Court is not bound to accept and impose these proposed penalties but will do so if persuaded that, in all the circumstances, they fall within the permissible range: cf NW Frozen Foods Pty Ltd v Australian Consumer and Competition Commission (1996) 71 FCR 285 at 290-1. In Ponzio v B &amp; P Caelli Constructions Pty Ltd (2007) 158 FCR 543 at 565 Jessup J expressed the view, with which I respectfully agree, that the phrase ""permissible range"" in this context ""refers to a range which would be permitted by the court, that is, a range within which the penalty is neither manifestly inadequate nor manifestly excessive.""",followed
Case942,National Mutual Holdings Pty Limited v Sentry Corporation (1988) 19 FCR 155,"National Mutual Holdings Pty Limited v Sentry Corporation (1988) 19 FCR 155 , a Full Court of this Court held that the power conferred on the Court or a judge by s 48 was unfettered and should be exercised flexibly having regard to the circumstances of the particular case. The Court went on to say (19 FCR at 162): Ultimately the test is: where can the case be conducted or continued most suitably bearing in mind the interests of all the parties, the ends of justice in the determination of the issues between them, and the most efficient administration of the Court. It cannot and should not, in our opinion, be defined more closely or precisely. Other sources of the power to transfer a proceeding to another Registry of this Court are O 10 r 1(2)(f) and O 30 r 6 of the Federal Court Rules . The relevant guiding principles are the same under the Rules as under s 48 of the Act.",applied
Case947,Australian Broadcasting Corporation v Comalco Ltd (1986) 12 FCR 510,"The discussion by the High Court in Thompson v Australian Capital Television [1996] HCA 38 ; (1996) 186 CLR 574 of subordinate dissemination is of particular interest (see Brennan CJ, Dawson and Toohey JJ at 585 590, Gaudron J at 591 596 and Gummow J at 617 620). That case concerned the liability of a television station that took to air a direct ""feed"" of a live current affairs show from another television station. The argument that it was a mere conduit failed. Emphasis was placed upon the choice made by that station to take a live current affairs program likely, to be controversial, directly to air without any editing or scrutiny. For an earlier, brave but unsuccessful, attempt to argue that a television station which puts a debate to air is not responsible for statements by participants see Australian Broadcasting Corporation v Comalco Ltd (1986) 12 FCR 510.",referred to
Case952,Creek v Cairns Post Pty Ltd [2001] FCA 1007 ; (2001) 112 FCR 352,"The test or standard in s 18C(1)(a) of the Act is objective: see Jones v Scully [2002] FCA 1080 ; (2002) 120 FCR 243 at 268-269; Hagan v Trustees of Toowoomba Sports Grounds Trust [2000] FCA 1615 ; Creek v Cairns Post Pty Ltd [2001] FCA 1007 ; (2001) 112 FCR 352 at [12] . It is for the Court to determine whether the act, in all the circumstances in which it was done, would be reasonably likely to offend, insult, humiliate or intimidate another person or a group of people of a particular racial, national or ethnic group: see Hagan [2000] FCA 1615 at [15] . As Hely J remarked in Scully [2002] FCA 1080 ; (2002) 120 FCR 243 at [99] : ""it is not necessary for an applicant to prove that any person was actually offended, insulted, humiliated or intimidated by the conduct in question ... [but] evidence, for example, that a member of a particular racial group was offended by the conduct in question would be admissible, on, but not determinative of, the issue of contravention.""",cited
Case957,Jones v The Bible Believers' Church [2007] FCA 55,"At all material times, the Messages on the Forum were able to be downloaded and received by any member of the public without restriction. The uploading or posting of the Messages by the second respondent was an act of publication done by him. Branson J held in Jones v Toben [2002] FCA 1150 , (2002) 71 ALD 629 at [73] [75] that: ""the act of placing text and graphics on a website which is not password protected is an act of publication, or perhaps more accurately an act which causes repeated publications, in that it allows individuals to access the website with a browser to read that text and see those graphics."" That was unaffected by the appeal ( Toben v Jones [2003] FCAFC 137 ; (2003) 129 FCR 515). That act plainly caused words to be communicated to the public within s 18C(2)(a) and so was not in private. (See also Conti J in Jones v The Bible Believers' Church [2007] FCA 55.)",followed
Case965,Croker v Commonwealth of Australia [2007] FCA 1593,"support of the Application the Applicant has filed an Affidavit which annexes a Draft Notice of Appeal . But that Affidavit fails to comply with r 4(2). It is in inadmissible form but, more relevantly, it is more in the nature of a submission and challenges the factual conclusions made by the Refugee Review Tribunal which affirmed the decision not to grant a protection visa. But such deficiencies may presently be left to one side. Non-compliance with r 4(2) should not, as in other proceedings where an applicant has been unrepresented (e.g. Lawrance v The Commonwealth of Australia [2007] FCA 1524 at [26] ; Croker v Commonwealth of Australia [2007] FCA 1593 at [6] ), of itself necessarily impede a proper consideration of such merits as an application may present.",cited
Case971,SZDGN v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCA 1543,"the present proceeding, however, neither the reasons for decision of the Federal Magistrate nor the proposed Notice of Appeal expose any basis upon which an appeal would have any prospects of success. Even if an order were to be made pursuant to O 52 r 5(3), leave to appeal would in any event be refused: see SZDGN v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCA 1543. Such a conclusion may be relied upon as a reason for an adverse exercise of the discretion conferred by O 52 r 5(3). Justice in such circumstances does not require a dispensation from compliance with O 52 r 5(2).",cited
Case977,Forster v Jododex Australia Pty Ltd [1972] HCA 61 ; (1972) 127 CLR 421 ,"making of a declaration and the terms in which it should be framed are in the Court's discretion: Forster v Jododex Australia Pty Ltd [1972] HCA 61 ; (1972) 127 CLR 421 at 437-439 per Gibbs J; and Ainsworth v Criminal Justice Commission [1992] HCA 10 ; (1992) 175 CLR 564 ( 'Ainsworth' ) at 581-582 and 596-597. As a matter of substance, the dispute that AWB submitted to the Court for its adjudication was whether legal professional privilege did, or did not, attach to the documents in AWB's further revised list of privileged documents dated 7 August 2006 (as supplemented by letters from AWB's solicitors to the Court dated 25 August 2006 and 5 September 2006). In my opinion, any declarations made by the Court should reflect the final outcome of this case with certainty and precision. Moreover, it is desirable that there should be an authoritative resolution of the dispute presented to the Court.",followed
Case979,Bass v Permanent Trustee Co Ltd [1999] HCA 9 ; (1999) 198 CLR 334,"have concluded that the Court should make a declaration, reflecting my reasons for judgment, that legal professional privilege attaches to specified documents, and does not attach to other specified documents. Declaratory relief in this form is appropriate because it determines the legal controversy that was before the Court: see Ainsworth at 582 and 596-597; and Bass v Permanent Trustee Co Ltd [1999] HCA 9 ; (1999) 198 CLR 334 at 355-356. As AWB's application makes clear, the controversy includes the question whether the documents at issue are protected from production to the Commission by legal professional privilege. This controversy is only likely to be quelled, completely and finally, by making a declaration in the form I propose.",applied
Case989,Switz Pty Ltd v Glowbind Pty Ltd (2000) 48 NSWLR 661,"459S(2) of the Corporations Act provides that leave is not to be granted unless the Court is satisfied that the ground relied upon is material to proving that the company is solvent. The primary judge concluded that a challenge to the debt will be material to proving that the company is solvent if the company is able to demonstrate that if the debt does not exist, then the company will be solvent. That approach is conventionally understood as the ""narrow approach"" to s 459S of the Corporations Act . In adopting that approach, the primary judge applied the reasoning of Spigelman CJ in Switz Pty Ltd v Glowbind Pty Ltd (2000) 48 NSWLR 661 at 674 and particularly at [56]. The observations of the Chief Justice are consistent with the views expressed by Perram J in Grant Thornton Services (NSW) Pty Limited v St George Wholesale Distributors Pty Limited [2008] FCA 1777 at [19] to [22].",cited
Case992,Web Wealth Pty Ltd v Helimount Pty Ltd [2006] FCA 1376,"primary judge also relied upon the authorities of HVAC Construction (Qld) Pty Ltd v Energy Equipment Engineering Pty Ltd (2002) 44 ACSR 169 at 184 and particularly at [53] (per French J) and Web Wealth Pty Ltd v Helimount Pty Ltd [2006] FCA 1376 at [43] to [45] (per Besanko J). Having considered the reasons of the primary judge in relation to the construction and operation of s 459S of the Corporations Act , I am satisfied that there is no error reflected in his Honour's approach to the authorities and his Honour's approach to the construction and application of s 459S of the Corporations Act .",cited
Case1001,Elkington v Vockbay Pty Ltd; Vockbay Pty Ltd v Elkington (1993) 10 ACSR 785,"meaning of the word 'contravention' is critical for the present proceedings. The word has been defined in cases other than Dimella to mean ' a failure to obey a statutory command...by doing something that a statute says must not be done ': see Re Centennial Coal Co Ltd (2006) 226 ALR 341 at 346 per Barrett J; ' an infringement or violation of a rule or standard or norm ': see Re Venice Nominees at 242 per Miles CJ; '"" infringe (law); (of things) conflict with""' per Owen J in Elkington v Vockbay Pty Ltd; Vockbay Pty Ltd v Elkington (1993) 10 ACSR 785 at 803; and ' an act or omission which is blameworthy and may lead to civil or criminal consequences ' per Young J in NRMA Ltd v Gould and Others (1995) 18 ACSR 290 at 293. The word has been defined in various UK statues as ' failure to comply ': see, for example, ss 5(1) and 37(1) Misuse of Drugs Act 1971 (UK); s 53(1) Food and Safety Act 1990 (UK).",referred to
Case1002,In Re A (children) (conjoined twins: surgical separation) [2000] EWCA Civ 254 ; [2001] 2 WLR 480,"common law defence of necessity, from which the defence of sudden or extraordinary emergency in s 10.3 of the Criminal Code has its origins, has been seen as a defence both of excuse and of justification: see, for example, R v Loughnan [1981] VR 443 which proceeded upon the assumption that such defence was an excuse and In Re A (children) (conjoined twins: surgical separation) [2000] EWCA Civ 254 ; [2001] 2 WLR 480 in which Lord Brooke treated the defence of necessity as a justification. Unfortunately the history of the defence provides little firm guidance so resort must be had to the Criminal Code itself to discern whether one will still contravene an offence provision even if a defence is available.",referred to
Case1003,McMullin and Another v ICI Australia Operations Pty Ltd and Others (No 7) [1999] FCA 1814 ; (1999) 169 ALR 227,"view of such authority, there can be no scope for the Court to reconsider the questions it has already answered unless it is found by the Court that ' it is incontestable that the earlier decision is wrong ': see McMullin and Another v ICI Australia Operations Pty Ltd and Others (No 7) [1999] FCA 1814 ; (1999) 169 ALR 227 at [20] . While such authority refers to a basis for reviewing an earlier decision where the Court, still possessing jurisdiction in a proceeding, later considers its decision to be erroneous, this Court considers that the principle referred to in Autodesk and McMullin applies generally and should guide this Court in the present circumstances. Is forfeiture dependent upon conviction or commission of a criminal offence?",followed
Case1008,Olbers Co Ltd v Commonwealth and Another [2004] FCAFC 262 ; (2004) 143 FCR 449,"appeal (see Olbers Co Ltd v Commonwealth and Another [2004] FCAFC 262 ; (2004) 143 FCR 449) the Full Court explicitly adopted the findings of French J that forfeiture under s 106A of the FMA took place without conviction for any offence. As to the condemnation procedure provided by s 106B to s 106G of the FMA, the Full Court in Olbers [2004] FCAFC 262 ; 143 FCR 449 , adopting the reasoning in Whim Creek Consolidated NL v Colgan [1991] FCA 467 ; (1991) 31 FCR 469 at 477-478, determined that such provision enabled the recording of the forfeiture having already occured: see Olbers [2004] FCAFC 262 ; 143 FCR 449 at [16] - [17] ; Tran No. 1 at [43].",followed
Case1010,Perpetual Trustee Co Ltd v Valuer General (No 2); Trust Co of Australia Ltd and Another v Valuer General (No 2) [2007] SASC 340 ; (2007) 99 SASR 251,applicant drew the Court's attention to Perpetual Trustee Co Ltd v Valuer General (No 2); Trust Co of Australia Ltd and Another v Valuer General (No 2) [2007] SASC 340 ; (2007) 99 SASR 251 as supporting its proposition that the findings in Tran No. 1 could be reconsidered. In that decision Debelle J found that such principle that findings cannot be reconsidered should not ' apply to an interlocutory judgment determining a question of statutory construction ' where no evidence had been led and where the assumptions upon which the preliminary questions were argued were later found to be erroneous.,distinguished
Case1030,Cretazzo v Lombardi (1975) 13 SASR 4,principles that inform the exercise of the Court's discretion to award costs under s 43 of the Federal Court of Australia Act 1976 (Cth) are well accepted. That discretion is absolute and unfettered but must be exercised judicially and cannot be exercised on grounds unconnected with the litigation: see Cretazzo v Lombardi (1975) 13 SASR 4 at 11; Re Wilcox; Ex parte Venture Industries Pty Ltd (1996) 141 ALR 727 at 732. Neither can the power to award costs be used to punish either a successful or an unsuccessful party: cf Latoudis v Casey [1990] HCA 59 ; (1990) 170 CLR 534 at 566-567.,cited
Case1035,Perrett v Commissioner for Superannuation (1991) 29 FCR 581,"the ordinary principle of costs following the event, there are two considerations of potentially present relevance of which account properly can be taken in justification of a departure from that principle. These are the reasonableness of the applicant in bringing the application and where the respondent, as in this case, is a public authority, the general importance both of the clarification of the law for such an authority and of securing proper compliance with it: see eg Perrett v Commissioner for Superannuation (1991) 29 FCR 581 at 594; see also Wilderness Society Inc v Hon Malcolm Turnbull, Minister for Environment and Water Resources [2008] FCAFC 19 at [7] .",cited
Case1038,Coco v A.N. Clark (Engineers) Limited [1969] RPC 41,The elements of a claim in equity for the protection of confidential information are well settled. A person seeking such protection must be able to prove the following: &#8226; precisely what constitutes the information sought to be protected; &#8226; that a necessary quality of confidentiality reposes in that information; &#8226; that the information was received by the person against whom equitable relief is sought in such circumstances as to impart a duty of confidence; and &#8226; that there is an actual or a threatened breach of that duty of confidence in respect of the information. See Coco v A.N. Clark (Engineers) Limited [1969] RPC 41 at 48; Corrs Pavey Whiting &amp; Byrne v Collector of Customs (1987) 14 FCR 434 at 443.,cited
Case1040,Liberty Financial Limited v Scott (No 2) [2005] VSC 26,"Even assuming this is in favour of the Applicants, it is still necessary that there be some evidence of a misuse of the information. In Liberty Financial Limited v Scott (No 2) [2005] VSC 26 at [7] , Arthur J cited with approval an observation made by Whitford J in Reinforced Plastics Applications (Swansea) v Swansea Plastics and Engineering Co Limited (1979) FSR 182 at 182: ""It is not really to be contemplated that proceedings of this kind should be allowed to go forward on nothing more than a speculative basis; and unless the plaintiff can show that he has some basis for a reasonable belief in his assertion that the defendants are making use of his confidential information, then the action can only be characterised as speculative and fishing, and ought not, in my judgment, to be allowed to proceed. It must be something more than a mere assertion.""",cited
Case1049,Microsoft Corporation v CX Computer Pty Ltd [2002] FCA 3 ; (2002) 116 FCR 372,"In Microsoft Corporation v CX Computer Pty Ltd [2002] FCA 3 ; (2002) 116 FCR 372 Lindgren J reviewed a series of cases in which Deane J's decision in Refrigerated Express had been applied or followed. He summarised his conclusions as follows (at 388): ""Although the course of authority since Refrigerated Express is not all one way, there has been a strong disposition in a proceeding not itself concerned with the imposition of a penalty for an offence or a civil penalty, in favour of ordering discovery, reserving the issue of self incrimination to the stage of production for inspection, and also reserving liberty to apply in relation to the degree of specificity with which a document is to be described in the individual's list of documents.""",referred to
Case1050,A. B. Pty Limited v Australian Crime Commission [2009] FCA 119,"where a large number of documents or extensive information is sought within a short period of time, and where an extension of time is not possible, the specification of a short period of time may reflect upon whether the power was exercised in good faith, for a collateral purpose or was unreasonable: see, eg, A. B. Pty Limited v Australian Crime Commission [2009] FCA 119 at [65] per Flick J. In fact, it was alleged that the burden imposed on the applicants was of such a magnitude that no reasonable person exercising the power under s 155 would have made the decisions giving rise to the issue of certain of the Notices. Reliance was placed on the principles stated by Lord Greene MR in Associated Provincial Picture Houses Ltd v Wednesbury Corporation [1948] 1 KB 223 and s 5(2)(g) of the ADJR Act.",cited
